DHCP-hash	DHCP-FP	FingerBank-Device-name	Score%
4509b96ba8bf6b08b755191604b668b4	1,15,3,6,44,46,47,31,33,43,252	Operating System/Windows OS/Microsoft Windows kernel 5.x/Microsoft Windows Kernel 5.0	87
2b684a60be52e5be48b7a34b6eb4612d	1,15,3,6,44,46,47,31,33,249,43,0,128,112	Operating System/Linux OS/Generic Linux	87
3bee5470ddbe9f28ad83eca41b5e28fa	1,28,2,3,15,6,119,12,44,47,26,121	Operating System/Linux OS/Ubuntu/Debian 5/Knoppix 6	87
d2b3a8865ca739a269023877cfd366ea	58,59,6,15,66,67,51,54,1,3	VoIP Device/Panasonic VoIP/Panasonic KX-UDS124CE SIP-DECT Base Station	87
f899139df5e1059396431415e770c6dd	100	Network Boot Agent/Novell Netware Client	87
5f3bd39caf77edcc702a5d631f07dc11	28,3,6,15	Router, Access Point or Femtocell/Wireless Access Point/Apple Airport WAP	87
129911f09a4f5e138545121f5a368af8	1,3,44,6,7,12,15,22,54,58,59,69,18,43,119,154	Printer or Scanner/HP Printer	87
fd16fc4460bf4c3a8ad5956732a78e4a	1,3,6,15,12,19	Operating System/Other OS/BeOS	87
014b9ca122c45656f0a9ebb06c94e43a	1,6,15,44,3,33,150,43	Router, Access Point or Femtocell/Wireless Access Point/Cisco WAP	87
ffddcdcdec6789737be00d00975fc647	191,157,144,128,66,160,7,54,42,15,6,4,3,2,1	VoIP Device/Polycom VoIP/Polycom Conference IP Phone	87
22cd9345fee014f118e82bfe54d6d791	1,28,160,3,4,42,2,6,15	VoIP Device/Polycom VoIP/Polycom Conference IP Phone	87
d672e0a975305da593e1ce57e1c51b47	1,2,3,5,6,11,12,13,15,16,17,18,43,54,60,67,128,129,130,131,132,133,134,135	Network Boot Agent/PXE	87
367d4f512a2fbc3872d0b80e5c4aa4d3	1,3,5,6,56,13,15,17,23,28,42,50,51,53,54,56,66,67	Samsung S8500	50
272ea7f0935b2249b477bea0ee4f323b	54,51,6,1,3,26,15,120	Operating System/Embedded OS/Java ME OS	73
5404e845092d0a378fc64f6002fcb1dc	12,6,15,1,3,28,120,119	Operating System/Symbian OS	73
5b29fedeee78722f7c33c410e5ed858f	1,28,3,6,15	Router, Access Point or Femtocell/Wireless Access Point/Apple Airport WAP	87
010697c6b9a31a8d07214b33d684d132	1,28,2,3,15,6,119,12,44,47,26,121,42,121,249,252,42	Operating System/Linux OS/Debian-based Linux/Ubuntu	87
7afa05f3fc307f5f8c4bba4c7ee79d9c	1,15,3,6,44,46,47,31,33,249,43,252,12	Operating System/Windows OS/Microsoft Windows kernel 5.x/Microsoft Windows Kernel 5.1,5.2	87
8b01e3677f4c44308702836d2076d309	1,3,6,44,46	Printer or Scanner/Konica Minolta Printer/Konica Minolta Multifunction Printer	87
27a5187bbde5434cd9e4c86bebd6ab3f	3,44,6,81,7,12,15,22,54,58,59,69,18,144	Printer or Scanner/HP Printer	87
d50cde9d4d71ac91fd5bb6456579520e	1,28,3,15,6,12	Operating System/BSD OS/OpenBSD	87
ddf291132ef293cf15d56bed92486710	1,2,3,6,15,42	VoIP Device/Uniden DTA VoIP Adapater	87
04e3da332c7abbf26b45f271ca061c87	1,3,4,6,12,15,28,42,43,66,67,60	Router, Access Point or Femtocell/Wireless Access Point/Cisco WAP	87
11220e9825147e9370dfee76fd66dcbd	1,3,4,23,67	Switch and Wireless Controller/HP ProCurve Switches	87
16cd952dd148aae113a4404febc79112	3,6,15,28,12,7,9,42,48,49	Operating System/Linux OS/Debian-based Linux	87
83c278194cb5848823b520b51a68c74e	15,3,6,44,46,47	Router, Access Point or Femtocell/Router/Cisco/Linksys Router	87
f497a090641680a5376b37dfd204041e	1,3,6,15,119,95,252,44,46,101	Operating System/Apple OS/Mac OS X or macOS/Mac OS X	87
175244f4a63bab1e6298d8ff2117b1b6	51,58,59,1,3,43,128,144,157,191,251	VoIP Device/Nortel VoIP/Nortel IP Phone	87
1ced839da3300cebd35daf8c0258f9a1	1,3,6,15,51,44	Operating System/Linux OS/Knoppix	87
34e78a4a3bd3753ae6cc5eb627e9b069	1,3,42,6,7,15,58,59,66,2,150,151,160,159	VoIP Device/Cisco VoIP/Cisco/Linksys SPA series IP Phone	87
9a1b2dfa7a72359da3e599ac4e3401a3	1,2,3,6,12,15,17,23,28,29,31,33,40,41,42,43	Audio, Imaging or Video Equipment/Set-top Box/Amino Aminet STB	87
3557e754da6b1d1035c756f340a03491	3,6,15	Router, Access Point or Femtocell/Router/Netgear Router	87
adbe45beda62792a3235121a2299aa1b	1,3,6,12,15,28,42,40,38,23,37,39,19,26	Tripplite UPS	50
b85358b64b735281bdd453cb615b7574	1,3,6,15,120,114,125	VoIP Device/Gigaset Communications	88
a0a5dc8660f695280a1bfd784e0687be	3,6,15,112,113,78,79,95	Operating System/Apple OS/Mac OS X or macOS/Mac OS X	87
0cbed995a5dd57cc6db7cdd5021f3d4e	1,3,6,15,7,44,51,54,58,59,12	Hardware Manufacturer/SEH COMPUTERTECHNIK GMBH	87
3deaf5c02c59cd64ddf8a1a3d5585f02	1,28,3,6,15,67,4,7	Router, Access Point or Femtocell/Wireless Access Point/Cisco WAP	87
0ec0bd7155b9b30a0be0e5bc805b4f83	1,28,2,3,15,6,12,44	Printer or Scanner/Kyocera Printer	87
63e7ba1aca91c4b1f2d09c3d3b40a227	1,3,15,6,43,77	Router, Access Point or Femtocell/Wireless Access Point/Compex WAP	87
9cf33ca200d694a9d98b7bf43be36477	1,28,43,3	VoIP Device/Siemens VoIP/Siemens optiPoint 410/420	87
41dc6d158afc1c42a443946e7c5bc858	1,28,2,3,15,6,119,12,44,47,26,121,42	Operating System/Linux OS/Ubuntu/Debian 5/Knoppix 6	87
831c0150db00761a2368b30052855166	1,3,6,15,27	Switch and Wireless Controller/3Com Switches	87
d2daf836647fd050dcbf4a12ac905ced	1,3,12,23,44,47	Router, Access Point or Femtocell/Router/Belkin Wireless Router	87
dcc13c02873a15852688a66acfe148ff	1,15,3,6,44,46,47,31,33,121,249,43,252	Operating System/Windows OS/Microsoft Windows Kernel 6.x	87
867875ff63401b4b3716b331e8e31ca6	1,3,6,15,42,44,46,47,69	Audio, Imaging or Video Equipment/Axis Communications	87
5a47450ff4d51e654277c712b0fe904c	1,3,6,12,15,17,23,28,29,31,33,40,41,42,43	Audio, Imaging or Video Equipment/Set-top Box/Amino Aminet STB	87
3cd8fe8073a13f9e62ebf5ac7b2b3e20	1,28,3,6,15,12	Router, Access Point or Femtocell/Wireless Access Point/Enterasys WAP/Enterasys HiPath Wireless Access Point	87
afb293ed416aa274f44982c10d15c81a	1,28,2,121,15,6,12,40,41,42,26,119,3	Operating System/Linux OS/RedHat/Fedora-based Linux/Fedora/Fedora 14 based distro	87
a8e9b00a2d9ada3572f9aad904e2b71b	1,3,28,58,59,6,15,78,79,44,46,69,12,81	Printer or Scanner/Xerox Printer	87
4ea216631fa7e5104c16c1b2a3acf6db	1,28,3,6	Internet of Things (IoT)/ROBE	87
787ba2fe027c895c8e43ba02ec792f5b	1,3,6,15,119,252	Operating System/Apple OS/iOS	87
e2c0be24560d78c5e599c2a9c9d0bbd2	203	Monitoring and Testing Device/HP iLO Agent	87
9ea90168dc0b34d865d58314dce28dd9	1,3,6,12,15,28,42,43,186,187,188,189,191,192	Router, Access Point or Femtocell/Wireless Access Point/Motorola WAP/Motorola AP	70
01cd1cec9c7265fa276735425b46040b	1,3,6,15,51	Audio, Imaging or Video Equipment/Video Equipment (Smart TV, Smart Players, etc.)/Sony Player	87
9c76088f636f25fb30dc360cb52fe951	1,3,12,6,15,112,113,78,79	Operating System/Apple OS/Mac OS X or macOS/Mac OS X	87
13de0d7fe765646d63fec88ac239ebab	1,3,6,12,15,17,23,28,29,31,33,40,41,42,9,7,200,44	Operating System/Linux OS/SUSE Linux/Novell Desktop	87
68b64930a2cc9598cddd02b189e39425	1,3,43,60	Network Boot Agent/Apple Netboot	87
0cdea89b70b8b89da04eeea4c788d5e2	1,3,6,15,119,252,67,52,13	Operating System/Apple OS/iOS	87
77aa0029a46cd5776ad43884e472a69f	1,28,2,3,15,6,119,12,44,47,26	Operating System/Linux OS/Debian-based Linux	87
84589f6332381c14eff21b7c556a2fac	1,2,3,4,6,15,28,33,42,43,44,58,59,100,101	Monitoring and Testing Device/HP iLO Agent	87
9e4b73a401b6bce0c88314359a63de11	3,1,6,15,121	Router, Access Point or Femtocell/Router/Belkin Wireless Router	87
225798e3e886f07556be5c65b9cc467a	1,3,6,28,33,51,58,59,121	Operating System/Google OS/Android OS	87
04df6d1a181ae47ffd57e8a2c1b25615	1,3,6,15,12	Audio, Imaging or Video Equipment/Video Equipment (Smart TV, Smart Players, etc.)/Roku TV	87
b93314bee1dc9768f4eb3e8bf2665375	1,2,3,4,6,15,42,54,7,160,66	VoIP Device/Polycom VoIP/Polycom Conference IP Phone	87
cd803682e26a1538a932d8996edb6fef	6,5,3,44,15	Router, Access Point or Femtocell/Wireless Access Point/Trendnet WAP/Trendnet Access Point	87
69217251b4b9028059acd8e6ae92d3eb	1,121,33,3,6,28,51,58,59	Operating System/Google OS/Android OS	87
8e57e0008d9327b8595f7ce0e088a606	1,3,23,6,15	Printer or Scanner/Konica Minolta Printer/Konica Minolta Multifunction Printer	87
3f6d8f8ed3c4c2cf7d20eed17bc753c3	1,28,160,43,3,4,42,2,6,15	VoIP Device/Polycom VoIP/Polycom Conference IP Phone	87
8e791b74d969cc605acdf456bf1e85fd	1,3,5,6,12,13,15,17,23,28,42,50,51,53,54,56,66,67	Operating System/Samsung Bada OS	87
1676d6f554617caac1abb4a4ebebe652	163,1,28,2,3,15,6,12	Barnes and Noble Nook (eReader)	50
838e83b569d89855fd46d981b017212c	15,3,6,44,46,47,43,77,252	Operating System/Windows OS/Microsoft Windows Kernel 4.x/Microsoft Windows Kernel 4.10	87
a67c8d836e10d87fb586f740f6172bda	1,3,6,12,15,28,44,46,47	Router, Access Point or Femtocell/Router/D-Link Wireless Router	87
d6ca7b1a041218a3924e9e399b41348b	1,3,6,12,15,28,60	Audio, Imaging or Video Equipment/IP Camera/TRENDnet Camera/TV-IP512P PoE Network IP Camera	87
68e4a15afd3fb5316e3d8ce096c8cc5a	1,3,44,6,7,12,15,22,54,58,59,69,18,144	Printer or Scanner/HP Printer	87
300a2cae8392e6ac86ebc4e2ceb26dc3	1,3,6,12,15,28,33,40,41,42,44,46,47	Router, Access Point or Femtocell/Router/D-Link Wireless Router	87
e8df7dec3079fb9d5d6bc4c3d6b60dc3	1,28,66,6,15,3,35,176	VoIP Device/Polycom VoIP/Unidentified Polycom	87
3c50b181450786b21ab49746fd20539c	1,3,6,15,112,113,78,79,95,252	Operating System/Apple OS	87
70fe2266821bd6ef88a7df58d27bd1d5	1,3,12,23,6,15,42,44,47	Printer or Scanner/Oki Printer	87
df4c316392c6b156ef8ac7be8dc4abb4	1,2,3,6,12,15,26,28,85,86,87,88,44,45,46,47	Printer or Scanner/Brother Printer	87
637856d94054cf3f58e63b6586cc9c92	1,15,3,6,44,46,47,43,77	Operating System/Windows OS/Microsoft Windows Kernel 4.x/Microsoft Windows Kernel 4.10	87
e68f35f2c0505f5eacf19174a83298c5	1,28,3,58,59,6,15,78,79,42,44,46,69,116,66,67,12	Printer or Scanner/Xerox Printer	87
de8a024a39d6d35253434f62010434cb	1,3,6,12,15,26,28,40,41,42	Router, Access Point or Femtocell/Wireless Access Point/Meraki WAP	87
2136dc24ca186a1ddc81c531d8c6b643	1,3,7,44,51,54,58,59,12,15,144,18	Printer or Scanner/HP Printer	87
9e4102a6d91aadc212eb70a09df6c7f6	1,28,66,6,15,3,35,43,128,131,144,157,188,191,205,219,223,232,247,251	VoIP Device/Polycom VoIP/Polycom Conference IP Phone	87
37fbbfb1847f9ba3874111cc086c72f7	43,60	Operating System/Apple OS	87
ad86ecec5a46870663fa3a93cd2dec2b	1,2,3,6,15,26,28,85,86,87,88,44,45,46,47,70,69,78,79,120	Printer or Scanner/Xerox Printer	73
853085f3e65a473b73c5c763d9dbe573	3,15,6	Gaming Console/Sony Gaming Console	87
8c2a2f1245fe6ff8d655fdb1e308fb40	1,6,3	Storage Device/Xyratex NAS	87
b51d42453654f74676b4ac2476a0b5c6	1,3,58,59,6	Audio, Imaging or Video Equipment/Extron/Extron TouchLink Touchpanels	87
843cd79833cbd0bab4364d36313c9404	1,3,6,15,7,44,51,54,58,59,12,69,42	Hardware Manufacturer/SEH COMPUTERTECHNIK GMBH	87
861b6d2fe8c210f5bc852cab4a9368ea	1,3,6,12,15,43,66,67,128,129,130,131,132,133,134,135	Router, Access Point or Femtocell/Wireless Access Point/Symbol WAP	87
5283b3c35007c4b7c3eb4689fff012b8	1,121,33,3,6,15,28,40,41,42,51,58,59,119	Printer or Scanner/Kyocera Printer	87
3143189b83e9b68a6b8c5b431b3cf232	1,3,6,12,15,17,28,42,234	Router, Access Point or Femtocell/Wireless Access Point/Sophos WAP/Sophos Astaro AP 10 WAP	87
96d5839d2e809b25dc901b1bde9c3076	1,28,3,6,15,67,4	Router, Access Point or Femtocell/Wireless Access Point/Cisco WAP	87
d58fb42e80976b2c9c742cf92a4268d6	1,3,6,7,12,15,18,23,26,44,46,51,54,58,59,78,79	Printer or Scanner/Xerox Printer	87
03d910e3b249da9edc37b9cf15357bb2	1,3,6,28	Nokia	50
5a84586ca504d23b62a212169f6f4695	1,3,6,12,15,28,33,44,121,249	Router, Access Point or Femtocell/Router/Netgear Router	87
0e4cdc35f47d95e419616635254f07e4	1,3,6,15,119,252,46,208,92	Operating System/Apple OS/iOS	87
4c6a52a4e1304b60730f975c8525a2c9	1,3,6,15,112,113,78,79,95,252,44,47	Operating System/Apple OS/Mac OS X or macOS/Mac OS X	87
2c499e8a4a29bad97dd9663a6525fc99	15,3,6,44,46,47,31,33,43,77	Operating System/Windows OS/Microsoft Windows Kernel 4.x/Microsoft Windows Kernel 4.90	87
dd9a8075579cd368364c122ee13c98e2	58,59,6,15,51,54,1,3	Audio, Imaging or Video Equipment/Video Equipment (Smart TV, Smart Players, etc.)/Panasonic TV	87
6813a4f31f28abb1d78f2d8931875a76	1,28,2,3,15,6,119,12,44,47,121	Storage Device/Iomega NAS/Iomega Backup Center	87
2976a79cb057283c6f898e1797c2523c	1,28,3,58,59,6,15,78,79,12,42,44,46,69,116,66,67	Printer or Scanner/Xerox Printer	87
55d26ff6ad9b1212a9ea31f327a8d1d3	1,3,6,12,15,66	VoIP Device/Siemens VoIP/Siemens optiPoint 150 S	87
ea3585d33770930772a2ba9b0b9d0f9c	1,33,3,6,15,28,51,58,59	Operating System/Google OS/Android OS	87
d3c55363ae47b6e81abc22fc204c6089	1,28,3,15,6,12,42,242,120,66,43	Video Conferencing/Tandberg	73
b07c79e6c947cf62a365a43718d23792	1,3,6,15,42,43,44,46,47,119	VoIP Device/Polycom VoIP/Polycom Conference IP Phone	87
d728867895490b748a2fba3ab66b9d87	1,28,3,6,15,42,43,176,66	VoIP Device/Avaya IP Phone	87
497964ad7847d67e06fb5bb997d2db90	1,2,3,6,12,15,28,33,42,43,120	VoIP Device/Siemens VoIP/Siemens OpenStage IP Phones	88
bd820cb5cbcff37b0d8ca723d8bc3a2c	1,3,6,12,15,28	Operating System/Linux OS/Embedded Linux 1,3,6,12,15,28	29
3c577f2c4f03e38a6152c7a1976ee350	1,121,33,3,6,12,15,28,40,41,42,51,58,59,119	Operating System/Linux OS/Gentoo Linux	87
f60dec4dee5e5c09b76c239a07ebaaec	1,3,6,44,15,46,47	Router, Access Point or Femtocell/Router/D-Link Wireless Router	87
111f7334ef11087006a58a26d6e03270	1,3,6,12,15,28,43	OpenSolaris	50
05d08339b04198d8228331691c40ecf9	1,3,42,4,6,7,12,26,44,51,54,58,59,190	Printer or Scanner/Lexmark Printer	87
6cd36214819db20d68f46faa667bc1a2	1,3,6,12,15,28,42,66,149,150	VoIP Device/Cisco VoIP/Cisco IP Phone	87
f1ba0d59313d14283f03355e7f841597	1,3,28,58,59,6,15,78,79,44,46,69,66,67,12,81	Printer or Scanner/Xerox Printer	87
3e957efc5a7bfc745fdf43ecad84e0de	1,15,3,6,44,46,47,31,33,249,43,252	Operating System/Windows OS/Microsoft Windows kernel 5.x/Microsoft Windows Kernel 5.1,5.2	87
578d94c00c0901b269591b1c33aba88a	1,3,7,6,15,66,69,43,176	VoIP Device/Avaya IP Phone	87
824386c9f248aeffe83da563ed7492ef	1,33,3,6,28,51,54,58,59	Operating System/Google OS/Chrome OS	87
c9b5b5d3dba39e931d52c213c716587a	1,3,15,6,12,35,66,150	VoIP Device/Cisco VoIP/Cisco IP Phone	87
56ab12683b84482929c62980fb8b7dc8	1,2,3,4,5,6,12,13,15,17,18,22,23,28,40,41,42,43,50,51,54,58,59,60,66,67,97,128,129,130,131,132,133,134,135	Network Boot Agent/PXE	87
6cc5e190bed3405319277c37ab9153f0	1,3,6,12,15,28,44,47,204	Printer or Scanner/Ricoh Printer/Ricoh Multifunction Printer	87
d2ce413f435924f47ed01e535057e9fc	3,6,12,15,17,23,28,29,31,33,40,41,42,9,7,200,44	Operating System/Linux OS/Generic Linux	87
eb7a42a7f407539ee163444f27cee1c5	1,3,6,66,15	VoIP Device/ZyXEL WiFi Phone	87
4d5c6faedf4b9ffc2ed3ab1cd308d4e0	1,3,7,44,51,54,58,59,12,144,18	Printer or Scanner/HP Printer	87
424ce1e74ec6573251253f086ac34992	1,3,12,44	Network Boot Agent/Generic Intel PXE	87
62d1bb67e19bb52e50ada87c9a126464	1,28,2,3,15,6,12,4,7,23,26,43,50,51,54,55,60,61	Router, Access Point or Femtocell/Router/Cisco/Linksys Router	87
92dd8e7a49f6389ada66769f173a9466	1,2,3,4,5,6,7,8,9,12,13,15,16,17,23,26,28,42,44,50,51,53,54,56,66,67	Samsung S8000	50
d4f62821afcb7ffd01bfd0377bddf21f	1,3,6,12,15,28,33,44,121	Router, Access Point or Femtocell/Router/Netgear Router	87
c6b7a51c6f3a3dbeafccfc6c97d8ec26	1,66,6,3,15,150,35	VoIP Device/Cisco VoIP/Cisco IP Phone	87
7ee5c304d7cdf2f5292391471218f15a	1,3,28,43,58,59	VoIP Device/Alcatel IP Phone/Alcatel IP Touch 8 Series Phones	87
e73551d71e9c7b90858cfd2ea6052d75	1,28,15,6,3,1	Audio, Imaging or Video Equipment/Matsushita or Panasonic	87
60dfcc8f2c99fd39d339bd0a54664f85	1,28,2,3,15,6,12,42,157	Video Conferencing/LifeSize Video Conferencing	87
d0ba5e90ca6678ef85128d3bec133e6b	252,3,42,15,6,1,12	Meego Netbook	50
945320123f752be1c2965ee054398587	116,252,67,28,59,58,15,6,119,81,44,46,47,42,70,3,78,79,69,1,66,2	Printer or Scanner/Xerox Printer	87
d47c0029a3bc5b69704274f726f91344	1,28,3,15,6,12,7,26,42,43,242	VoIP Device/Avaya IP Phone	87
4e36cd5ff87894ee7c113f3503d7c3f5	1,28,1,3,6,4	Router, Access Point or Femtocell/Router/Motorola Router	87
eccc5ed121dd81b1e4b059285dfab24f	1,15,3,6,44,46,47,31,33,121,249,43,200	Operating System/Windows OS/Microsoft Windows kernel 5.x/Microsoft Windows Kernel 5.1,5.2	87
81d55179434739fe2afce8f8d151a9ae	1,3,6,51,58,59	Physical Security/Paradox Card Access module	87
4118b41b9cc98b2f2c265d1afa02f227	1,121,3,6,12,15,28,33	Router, Access Point or Femtocell/Router/Netgear Router	87
d813a2681952b8936e5557fbb657490c	1,3,6,15,35,66,51,150	VoIP Device/Cisco VoIP/Cisco IP Phone	87
fa35d2826edab475ec3abcdd3cbeade7	1,28,3,66,4,42,2,6,15	VoIP Device/Polycom VoIP/Polycom SoundPoint IP/Polycom SoundPoint IP 301	87
baab9c26b706ff32008c489a79941ec2	1,28,3,6,15,33,42,2,43,120	VoIP Device/Siemens VoIP/Siemens optiPoint 410/420	88
c1ccaa8518ee1d16a033741e13c0a5a6	1,66,6,15,44,3,67,12,33,150,43	Router, Access Point or Femtocell/Wireless Access Point/Cisco WAP	87
f1ecff729cda55e5766e29d2dfe51f59	1,121,33,3,6,15,28,51,58,59	Operating System/Google OS/Android OS	87
6723774e7103a2667d834251ba14b647	1,121,33,3,6,12,15,26,28,42,51,54,58,59,119	Operating System/Linux OS/Gentoo Linux	87
6f87a73f46a2eb90b4d88c6113adcbdb	1,66,6,3,15,150,35,151	VoIP Device/Cisco VoIP/Cisco IP Phone	87
40dd7ac55fa1443cce034317cca84a9b	1,3,6,12,15,28,44,47	Printer or Scanner/Ricoh Printer/Ricoh Multifunction Printer	87
31b09a422c746c571a2e2d265f2f4488	1,28,3,26,12,15,6,40,41,87,85,86,44,45,46,47,42	Operating System/Linux OS/Suse Linux Enterprise Desktop 11	87
d59724879629e4ce3297500e7c64ace7	1,3,6,15,43,60	Router, Access Point or Femtocell/Wireless Access Point/Aruba WAP	87
47e366310b6659dcb4e996e8b3d18dba	1,2,3,15,6,12,44	Operating System/Apple OS	87
df9955f32817c420de302f6f06de0392	58,59,1,28,121,33,3,12,119,15,6,26,17,120	VoIP Device/Biamp devices	57
985f222d098b6410c0b3ba6e2a2722e5	3,6,15,112,113,78,79,95,252	Operating System/Apple OS/Mac OS X or macOS/Mac OS X	87
1584d6ba59295625acd49576398fe779	1,3,44,6,7,12,15,22,54,58,59,69,18,43,119	Printer or Scanner/HP Printer	87
f5f9a6b31fd722929d56d86fd3dbacbe	56,6,1,3,15	Phone, Tablet or Wearable/RIM BlackBerry/Blackberry Playbook	57
9bebf34634fc7f2f78ce2a9304ec8182	1,3,6,15,44,46,47,66,67	Operating System/Windows OS/Windows CE	87
f6fa648e67d8ae8da714c02580b6869a	1,28	Audio, Imaging or Video Equipment/Video Equipment (Smart TV, Smart Players, etc.)/Replay TV	87
e2b93a3aae1b04724ccd55566fadaf17	1,3,7,12,26,44,51,54,58,59	Printer or Scanner/Lexmark Printer	87
5df550dae88d999b9518585f8c3288a1	1,6,15,44,52	Switch and Wireless Controller/Cisco Switches/Cisco Catalyst 35xx	87
13e27e1c49faa3849ce21e5d2bb3cec4	1,3,6,12,15,17,43,60	Router, Access Point or Femtocell/Wireless Access Point/Aruba WAP	87
2b0c751c3a5e6d14a2021e532aceb5ab	6,1,3,12,44	Video Conferencing/Polycom Video Conferencing/Polycom ViewStation	87
86040c8bee83d14fb98fa56792ee758e	1,3,7,12,26,44,51,54,58,59,190	Printer or Scanner/Lexmark Printer	87
